,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
76695,10/29/2018,114.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE","[40.76930609, -73.91550818]"
76723,10/29/2018,123.0,STATEN ISLAND,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.51180434, -74.25003459]"
76749,10/29/2018,49.0,BRONX,104,FELONY,RAPE,RAPE 1,"[40.85616296, -73.84439712]"
76767,10/29/2018,71.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.664527500000005, -73.94773929]"
76821,10/29/2018,23.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.78926022, -73.94771]"
76822,10/29/2018,23.0,MANHATTAN,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.78926022, -73.94771]"
76828,10/29/2018,107.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.72993936, -73.81043314]"
76832,10/29/2018,62.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.60260318, -74.00308766]"
76835,10/29/2018,18.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.76481827, -73.98518977]"
77057,10/28/2018,102.0,QUEENS,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.69873677, -73.83156876]"
77104,10/28/2018,75.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.67110691, -73.88143296]"
77133,10/28/2018,7.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.71650772, -73.9839199]"
77152,10/28/2018,33.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.8399082, -73.93608359]"
77451,10/28/2018,103.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.70704748, -73.79261190000001]"
77503,10/28/2018,34.0,MANHATTAN,104,FELONY,RAPE,RAPE 3,"[40.85148777, -73.93545797]"
77524,10/28/2018,20.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.78405987, -73.97502051]"
77533,10/28/2018,48.0,BRONX,116,FELONY,SEX CRIMES,AGGRAVATED SEXUAL ASBUSE,"[40.84390126, -73.90050463]"
77534,10/28/2018,48.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.84390126, -73.90050463]"
77545,10/28/2018,7.0,MANHATTAN,116,FELONY,SEX CRIMES,OBSCENE MATERIAL - UNDER 17 YE,"[40.71650772, -73.9839199]"
77651,10/28/2018,115.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.75686098, -73.87565666]"
77813,10/28/2018,47.0,BRONX,104,FELONY,RAPE,RAPE 1,"[40.88745131, -73.84760779]"
77847,10/28/2018,70.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.63036655, -73.97371261]"
77943,10/28/2018,67.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.64865009, -73.95033556]"
77950,10/28/2018,23.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.78926022, -73.94771]"
77951,10/28/2018,120.0,STATEN ISLAND,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.64472613, -74.07748316]"
77952,10/28/2018,73.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.67065507, -73.91339092]"
78047,10/27/2018,79.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.68887215, -73.94452903]"
78227,10/27/2018,113.0,QUEENS,116,FELONY,SEX CRIMES,OBSCENE MATERIAL - UNDER 17 YE,"[40.67970041, -73.77604737]"
78314,10/27/2018,75.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.67110691, -73.88143296]"
78321,10/27/2018,104.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.70426739, -73.89355376]"
78338,10/27/2018,43.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.8231013, -73.86969046]"
78445,10/27/2018,72.0,BROOKLYN,104,FELONY,RAPE,"RAPE 1,ATTEMPT","[40.65819343, -74.00103224]"
